record_id,launch_priority,should_publish,confidence,brand,part_type,part_subtype,primary_part_number,alt_part_numbers,oem_equivalent,product_name,compatible_models_text,track_sizes,chassis_mount_notes,serial_notes,position_notes,suggested_price_usd,source_tier,source_files,source_urls,verification_notes,seo_title,seo_h1,meta_description,slug,page_template
UP-0002,1,YES,Verified-Imported/Sold,CAT,roller,bottom,304-1890,536-3549|389-7624,304-1890,CAT 259D Bottom Roller,"259D, 279D, 289D, 299D, 226B, 272B, 267B, 259B3, 259D3, 279, 279C2, 279D3, 289C, 289C2, 289D3, 299D3, 299C",,,,,330,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx,https://store.rubbertrax.com/CAT-259B3-279C-289C-299C-Bottom-Roller-p418.htm?srsltid=AfmBOopvrOwDLv2Gtpd9Qp62AwpyIoq9Wh63T9H-Zj20lF_kEkQ52v0L | https://store.rubbertrax.com/CAT-259B3-279C-289C-299C-Bottom-Roller-p418.htm | https://www.flundercarriage.com/products/caterpillar-cat-259b3-279c-289c-299c-bottom-track-roller-fit-caterpillar-cat-259b3-259d-loader,User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data. | Web spot-check: Rubbertrax and FL Undercarriage confirm 304-1890 / 536-3549 / 389-7624 bottom roller cluster for CAT 259B3/259D/279C/279D/289C/289D/299C/299D/299D3 family.,CAT Bottom Roller 304-1890 for CAT 259D,CAT Bottom Roller 304-1890 for CAT 259D,"In-stock CAT Bottom Roller 304-1890 for CAT 259D. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machi",cat-304-1890-bottom-roller,Undercarriage part detail + machine fitment
UP-0003,1,YES,Verified-Imported/Sold,Bobcat,roller,bottom,6689371 NEW STYLE WITH BOLTS,,6689371 NEW STYLE WITH BOLTS,Bobcat Bobcat T140 Bottom Roller,"Bobcat T140, T180, T190, T200, T250, T300, T320, T630, T650, T630 ( S/N AJDT1101-AJDT12076 solid mount) T550 ( A7UJ1101 & above, AJZV1101-AJZV13999) T590 (only for solid mount undercarriage S/N A3NR1101-A3NR15598, A3NS1101-A3NS11999, ALJU1101-ALJU16824, B3781101-B37811103), T650 ( Only for solid mount undercarrige), T750 (Only for solid mount undercarriage), T770 ( serial number specific & must have sold mount suspension), 864 ( Older Bobcat T190 models have 3 bottom rollers each side and newer have 4",,,,,380,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx,https://store.rubbertrax.com/Bobcat-CTL-Bolt-Style-Bottom-Rollers-6689371-p407.htm?srsltid=AfmBOopw_8Ek_tQtK34Dn_Kt5qn4xTSkTp1-gawep0X6by-JL1NN8uEY,User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data.,Bobcat Bottom Roller 6689371 NEW STYLE WITH BOLTS for Bobcat T140,Bobcat Bottom Roller 6689371 NEW STYLE WITH BOLTS for Bobcat T140,In-stock Bobcat Bottom Roller 6689371 NEW STYLE WITH BOLTS for Bobcat T140. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fit,bobcat-6689371-new-style-with-bolts-bottom-roller,Undercarriage part detail + machine fitment
UP-0004,1,YES,Verified-Imported/Sold,Bobcat,roller,bottom,7323310,,7323310,Bobcat BOBCAT T870 Bottom Roller,BOBCAT T870,,,,,340,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx,https://store.rubbertrax.com/Bobcat-T870-SUSPENSION-MOUNT-Bottom-Roller-p3150.htm?srsltid=AfmBOor_dykQIObpVnpgDFGMK-tLsF86eqseBOiGHIAVIhH78Z6u-IJE,User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data.,Bobcat Bottom Roller 7323310 for Bobcat BOBCAT T870,Bobcat Bottom Roller 7323310 for Bobcat BOBCAT T870,In-stock Bobcat Bottom Roller 7323310 for Bobcat BOBCAT T870. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,bobcat-7323310-bottom-roller,Undercarriage part detail + machine fitment
UP-0010,1,YES,Verified-Imported/Sold,Bobcat,sprocket,drive,7204050,,7204050,Bobcat Bobcat T450 T595 T590 Sprocket,"Bobcat T450 T595 T590, GEHL RT165",,,,,160,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx,160,User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data.,Bobcat Drive Sprocket 7204050 for Bobcat T450 T595 T590,Bobcat Drive Sprocket 7204050 for Bobcat T450 T595 T590,In-stock Bobcat Drive Sprocket 7204050 for Bobcat T450 T595 T590. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by pa,bobcat-7204050-drive-sprocket,Undercarriage part detail + machine fitment
UP-0009,1,YES,Verified-Imported/Sold,CAT,idler,,348-9647,536-3552,348-9647,CAT Cat 259B3 Idler - Triple Flange,"Cat 259B3, 259D, 259D3, 279C, 279D, 289C, 289D, 299C, 299D",,,,,840,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx,840,User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data.,CAT Idler 348-9647 for CAT Cat 259B3,CAT Idler 348-9647 for CAT Cat 259B3,"In-stock CAT Idler 348-9647 for CAT Cat 259B3. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machine ",cat-348-9647-idler,Undercarriage part detail + machine fitment
UP-0008,1,YES,Verified-Imported/Sold,CAT,sprocket,drive,304-1870,,304-1870,CAT Cat 239D / DR Drive Sprocket,"Cat 239D / DR, 249D, 249D3, 255, 259B3, 259D, 259D3, 239 DLRC, 249 DLRC, 259D3, 259DLRC, 265",,,,,285,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx,285,User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data.,CAT Drive Sprocket 304-1870 for CAT Cat 239D / DR,CAT Drive Sprocket 304-1870 for CAT Cat 239D / DR,In-stock CAT Drive Sprocket 304-1870 for CAT Cat 239D / DR. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part num,cat-304-1870-drive-sprocket,Undercarriage part detail + machine fitment
UP-0007,1,YES,Verified-Imported/Sold,CAT,sprocket,drive,304-1916,,304-1916,CAT Cat 279C Drive Sprocket,"Cat 279C, 279C2, 279D, 279D3, 289C ( specific to JMP serial break), 289C2, 289D, 289D3, 299C, 299D, 299DR, 299D3, 299D3 XE",,,,,350,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx,350,User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data.,CAT Drive Sprocket 304-1916 for CAT Cat 279C,CAT Drive Sprocket 304-1916 for CAT Cat 279C,"In-stock CAT Drive Sprocket 304-1916 for CAT Cat 279C. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, ",cat-304-1916-drive-sprocket,Undercarriage part detail + machine fitment
UP-0001,1,YES,Verified-Imported/Sold,Kubota,roller,bottom,V0511-25104,V0511-25100,V0511-25104,Kubota SVL75 and SVL90 compact track loaders bottom rollers,"Kubota SVL 65-2, Kubota SVL 65-2C, Kubota SVL75, SVL90, SVL90C, SVL90-2, SVL90-2C, SVL95-2S, SVL95-2SC, SVL97-2, SVL97-2C",,,,,380,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx | undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Kubota-SVL75-SVL95-SV97-Bottom-Roller-p704.htm?srsltid=AfmBOoorFdEHmYEG6-iClaRuNO8ZdV5xW2_4LYxL7Lvpj-chSm9c_vr_ | https://www.rubbertrax.com/rollers | https://store.rubbertrax.com/Kubota-SVL75-SVL95-SV97-Bottom-Roller-p704.htm | https://www.summitrubbertracks.com/Bottom-Roller-BR489,"User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data. | Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims. | Web spot-check: Rubbertrax confirms SKU V0511-25104 for Kubota SVL65/SVL75/SVL90/SVL95/SVL97 family; Summit also lists V0511-25104 and V0511-25100.",Kubota Bottom Roller V0511-25104 for Kubota SVL 65-2,Kubota Bottom Roller V0511-25104 for Kubota SVL 65-2,In-stock Kubota Bottom Roller V0511-25104 for Kubota SVL 65-2. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part ,kubota-v0511-25104-bottom-roller,Undercarriage part detail + machine fitment
UP-0005,1,YES,Verified-Imported/Sold,Kubota,sprocket,drive,V0511-21110,,V0511-21110,"Kubota SVL65-2, SVL65-2C, SVL75, SVL75-2, SVL75C, SVL75-2C drive sprocket","Kubota SVL65-2, SVL65-2C, SVL75, SVL75-2, SVL75C, SVL75-2C",,,,,300,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx | undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Kubota-SVL-75-2-Drive-Sprocket-p692.htm?srsltid=AfmBOorncUNCihwkSgXwxAyfIkZhQr3OopLuI6GqfqSvSxHgjt7NTC6K,"User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data. | Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Kubota Drive Sprocket V0511-21110 for Kubota SVL65-2,Kubota Drive Sprocket V0511-21110 for Kubota SVL65-2,In-stock Kubota Drive Sprocket V0511-21110 for Kubota SVL65-2. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part ,kubota-v0511-21110-drive-sprocket,Undercarriage part detail + machine fitment
UP-0006,1,YES,Verified-Imported/Sold,Kubota,sprocket,drive,V0611-21112,,V0611-21112,Kubota Kubota SVL90 Drive Sprocket,"Kubota SVL90, SVL90C, SVL90-2, SVL90-2C, SVL90C, SVL95-2S, SVL95-2SC, SVL97-2, SVL97-2C",,,,,350,Tier 1 - Imported and sold by user,Undercarriage part numbers-imported and sold.xlsx,https://store.rubbertrax.com/Kubota-SVL90-SVL95-SVL97-Drive-Sprockets-p698.htm?srsltid=AfmBOoqfXUiL24RQrnP5ZLWk_IWSRNRVK3JCF2aKBgoqmF6udFfTB8R3,User-confirmed: imported and sold with no known issue. Use as highest-confidence launch data.,Kubota Drive Sprocket V0611-21112 for Kubota SVL90,Kubota Drive Sprocket V0611-21112 for Kubota SVL90,In-stock Kubota Drive Sprocket V0611-21112 for Kubota SVL90. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part nu,kubota-v0611-21112-drive-sprocket,Undercarriage part detail + machine fitment
